from_country,dest_country,co2_emissions
Chile,United States,1006000
Chile,United States,1058000
Chile,United States,1084000
Chile,United States,1213000
Chile,United States,999000
Chile,South Korea,2162000
Chile,South Korea,1729000
Chile,South Korea,2162000
Chile,South Korea,1729000
Chile,South Korea,2313000
Chile,United States,1013000
Chile,United States,986000
Chile,United States,1013000
Chile,United States,995000
Chile,United States,1013000
Chile,United States,1151000
Chile,United States,1245000
Chile,United States,1248000
Chile,United States,1124000
Chile,United States,1087000
Chile,United States,1071000
Chile,United States,1087000
Chile,United States,1085000
Chile,United States,1086000
Chile,United States,1087000
Chile,United States,1073000
Chile,United States,1071000
Chile,United States,1192000
Chile,United States,1194000
Chile,United States,1149000
Chile,United States,1179000
Chile,United States,1124000
Chile,United States,1147000
Chile,United States,1179000
Columbia,Australia,2221000
Columbia,Australia,1889000
Columbia,Australia,1889000
Columbia,Australia,1849000
Columbia,Australia,1889000
Columbia,Australia,1849000
Columbia,Australia,1889000
Columbia,Australia,1849000
Columbia,Australia,1874000
Columbia,Australia,1849000
Columbia,Canada,725000
Columbia,Canada,686000
Columbia,Canada,686000
Columbia,Canada,745000
Columbia,China,2246000
Columbia,China,2053000
Columbia,China,1707000
Columbia,China,1620000
Columbia,Dublin,1271000
Columbia,Dublin,1271000
Columbia,Dublin,1271000
Columbia,Dublin,1256000
Columbia,Dublin,1227000
Columbia,France,1186000
Columbia,China,2984000
Columbia,China,2946000
Columbia,China,2932000
Columbia,China,2932000
Columbia,Germany,1343000
Columbia,Australia,1750000
Columbia,Australia,2165000
Columbia,Japan,1826000
Columbia,Japan,1826000
Columbia,Japan,1826000
Columbia,Japan,1826000
Columbia,Japan,1826000
Columbia,Japan,1515000
Columbia,Japan,1812000
Columbia,Japan,1673000
Columbia,Japan,1673000
Columbia,Malaysia,2124000
Columbia,Malaysia,2234000
Columbia,Spain,1189000
Columbia,China,2259000
Columbia,China,2151000
Columbia,China,2151000
Columbia,China,1907000
Columbia,China,1799000
Columbia,China,1799000
Columbia,China,6479000
Columbia,Netherlands,1182000
Columbia,Thailand,1912000
Columbia,Thailand,2022000
Columbia,Thailand,2297000
Columbia,Thailand,2439000
Columbia,China,1718000
Columbia,China,1730000
Columbia,China,2078000
Columbia,China,1690000
Columbia,China,1690000
Columbia,China,1726000
Columbia,China,1630000
Columbia,China,2815000
Columbia,China,6331000
Columbia,Qatar,1511000
Columbia,Qatar,1845000
Columbia,United States,823000
Columbia,United States,706000
Columbia,United States,706000
Columbia,United States,691000
Columbia,United States,665000
Columbia,United States,691000
Columbia,United States,665000
Columbia,United States,706000
Columbia,United States,721000
Columbia,United States,706000
Columbia,United States,772000
Columbia,United States,772000
Columbia,United States,665000
Columbia,United States,665000
Columbia,United States,706000
Columbia,United States,665000
Columbia,United States,704000
Columbia,United States,757000
Columbia,United States,727000
Columbia,United States,735000
Columbia,United States,727000
Columbia,United States,667000
Columbia,United States,656000
Columbia,United States,634000
Columbia,United States,667000
Columbia,United States,541000
Columbia,United States,532000
Columbia,United States,541000
Columbia,United States,541000
Columbia,United States,544000
Columbia,United States,544000
Columbia,United States,541000
Columbia,United States,541000
Columbia,United States,541000
Columbia,Indonesia,1938000
Columbia,Indonesia,2048000
Columbia,United States,743000
Columbia,United States,726000
Columbia,United States,743000
Columbia,United States,760000
Columbia,United States,743000
Columbia,United States,780000
Columbia,United States,810000
Columbia,United States,810000
Columbia,United States,726000
Columbia,United States,743000
Columbia,United States,788000
Columbia,United States,780000
Columbia,United States,788000
Columbia,United States,772000
Columbia,United States,743000
Columbia,United States,780000
Columbia,United States,772000
Columbia,United States,813000
Columbia,United States,772000
Columbia,United States,772000
Columbia,Japan,1861000
Columbia,Japan,1510000
Columbia,United Kingdom,1737000
Columbia,United Kingdom,1316000
Columbia,Mexico,650000
Columbia,Mexico,650000
Columbia,Mexico,684000
Columbia,Mexico,650000
Columbia,United States,628000
Columbia,United States,628000
Columbia,United States,628000
Columbia,United States,628000
Columbia,United States,628000
